interaction,target,horizon,regime_count,positive_regimes,negative_regimes,regime_class
bb_compressed_and_low_volume,upside_breakout_occurred,1H,2,1,1,REGIME-SPECIFIC
bb_compressed_and_low_volume,upside_breakout_occurred,24H,2,2,0,REGIME-SPECIFIC
bb_compressed_and_low_volume,upside_breakout_occurred,2H,2,2,0,REGIME-SPECIFIC
bb_compressed_and_low_volume,upside_breakout_occurred,4H,2,2,0,REGIME-SPECIFIC
bb_compressed_and_low_volume,upside_breakout_occurred,8H,2,2,0,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,12H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,1H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,24H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,2H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,4H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,downside_breakdown_occurred,8H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,fast_1atr_touch,1H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,fast_1atr_touch,2H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,fast_1atr_touch,4H,3,1,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,max_abs_excursion_ge_1_5_atr,12H,3,0,0,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,max_abs_excursion_ge_1_5_atr,1H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,max_abs_excursion_ge_1_5_atr,2H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,max_abs_excursion_ge_1_5_atr,4H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,max_abs_excursion_ge_1_5_atr,8H,3,2,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,one_sided_runaway,12H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,one_sided_runaway,1H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,one_sided_runaway,24H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,one_sided_runaway,2H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,one_sided_runaway,4H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,one_sided_runaway,8H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,oscillatory_path,12H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,oscillatory_path,1H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,oscillatory_path,24H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,oscillatory_path,2H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,oscillatory_path,4H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,oscillatory_path,8H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,path_inside_70,12H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,path_inside_70,1H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,path_inside_70,24H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,path_inside_70,2H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,path_inside_70,4H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,path_inside_70,8H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,range_breached,12H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_breached,1H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_breached,24H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_breached,2H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_breached,4H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,range_breached,8H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,range_held,12H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_held,1H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_held,24H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_held,2H,3,0,3,UNIVERSAL
bb_compressed_and_rising_atr_slope,range_held,4H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,range_held,8H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,12H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,1H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,24H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,2H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,4H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,realized_over_range_width_ge_1,8H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,trend_efficiency_high,12H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,trend_efficiency_high,1H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,trend_efficiency_high,24H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,trend_efficiency_high,2H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,trend_efficiency_high,4H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,trend_efficiency_high,8H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,12H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,1H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,24H,3,3,0,UNIVERSAL
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,2H,3,2,1,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,4H,3,1,2,REGIME-SPECIFIC
bb_compressed_and_rising_atr_slope,upside_breakout_occurred,8H,3,2,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,1H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,24H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,downside_breakdown_occurred,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,fast_1atr_touch,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,fast_1atr_touch,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,fast_1atr_touch,4H,2,0,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,max_abs_excursion_ge_1_5_atr,12H,2,0,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,max_abs_excursion_ge_1_5_atr,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,max_abs_excursion_ge_1_5_atr,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,max_abs_excursion_ge_1_5_atr,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,max_abs_excursion_ge_1_5_atr,8H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,12H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,24H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,one_sided_runaway,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,1H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,24H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,oscillatory_path,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,1H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,24H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,2H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,path_inside_70,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,1H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,24H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,2H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_breached,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,1H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,24H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,2H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,range_held,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,12H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,24H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,2H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,realized_over_range_width_ge_1,8H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,12H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,24H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,2H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,4H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,trend_efficiency_high,8H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,12H,2,1,1,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,1H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,24H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,2H,2,0,2,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,4H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_high_efficiency,upside_breakout_occurred,8H,2,2,0,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,12H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,1H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,24H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,2H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,4H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,downside_breakdown_occurred,8H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,fast_1atr_touch,1H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,fast_1atr_touch,2H,4,3,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,fast_1atr_touch,4H,4,1,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,max_abs_excursion_ge_1_5_atr,12H,4,0,0,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,max_abs_excursion_ge_1_5_atr,1H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,max_abs_excursion_ge_1_5_atr,2H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,max_abs_excursion_ge_1_5_atr,4H,4,3,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,max_abs_excursion_ge_1_5_atr,8H,4,2,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,one_sided_runaway,12H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,one_sided_runaway,1H,4,0,4,UNIVERSAL
bb_squeeze_low_and_low_efficiency,one_sided_runaway,24H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,one_sided_runaway,2H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,one_sided_runaway,4H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,one_sided_runaway,8H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,oscillatory_path,12H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,oscillatory_path,1H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,oscillatory_path,24H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,oscillatory_path,2H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,oscillatory_path,4H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,oscillatory_path,8H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,path_inside_70,12H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,path_inside_70,1H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,path_inside_70,24H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,path_inside_70,2H,4,0,4,UNIVERSAL
bb_squeeze_low_and_low_efficiency,path_inside_70,4H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,path_inside_70,8H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_breached,12H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_breached,1H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_breached,24H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_breached,2H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,range_breached,4H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_breached,8H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_held,12H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_held,1H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_held,24H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_held,2H,4,0,4,UNIVERSAL
bb_squeeze_low_and_low_efficiency,range_held,4H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,range_held,8H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,12H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,1H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,24H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,2H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,4H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,realized_over_range_width_ge_1,8H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,12H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,1H,4,0,4,UNIVERSAL
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,24H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,2H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,4H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,trend_efficiency_high,8H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,12H,4,2,2,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,1H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,24H,4,1,3,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,2H,4,4,0,UNIVERSAL
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,4H,4,3,1,REGIME-SPECIFIC
bb_squeeze_low_and_low_efficiency,upside_breakout_occurred,8H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,downside_breakdown_occurred,12H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,downside_breakdown_occurred,1H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,downside_breakdown_occurred,24H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,downside_breakdown_occurred,2H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,downside_breakdown_occurred,4H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,downside_breakdown_occurred,8H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,fast_1atr_touch,1H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,fast_1atr_touch,2H,4,3,0,UNIVERSAL
donchian_center_and_falling_rv,fast_1atr_touch,4H,4,1,0,UNIVERSAL
donchian_center_and_falling_rv,max_abs_excursion_ge_1_5_atr,12H,4,0,0,REGIME-SPECIFIC
donchian_center_and_falling_rv,max_abs_excursion_ge_1_5_atr,1H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,max_abs_excursion_ge_1_5_atr,2H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,max_abs_excursion_ge_1_5_atr,4H,4,3,0,UNIVERSAL
donchian_center_and_falling_rv,max_abs_excursion_ge_1_5_atr,8H,4,2,0,UNIVERSAL
donchian_center_and_falling_rv,one_sided_runaway,12H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,one_sided_runaway,1H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,one_sided_runaway,24H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,one_sided_runaway,2H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,one_sided_runaway,4H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,one_sided_runaway,8H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,oscillatory_path,12H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,oscillatory_path,1H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,oscillatory_path,24H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,oscillatory_path,2H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,oscillatory_path,4H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,oscillatory_path,8H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,path_inside_70,12H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,path_inside_70,1H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,path_inside_70,24H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,path_inside_70,2H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,path_inside_70,4H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,path_inside_70,8H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,range_breached,12H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,range_breached,1H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,range_breached,24H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_breached,2H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_breached,4H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_breached,8H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,range_held,12H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,range_held,1H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,range_held,24H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_held,2H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_held,4H,4,1,3,REGIME-SPECIFIC
donchian_center_and_falling_rv,range_held,8H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,realized_over_range_width_ge_1,12H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,realized_over_range_width_ge_1,1H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,realized_over_range_width_ge_1,24H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,realized_over_range_width_ge_1,2H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,realized_over_range_width_ge_1,4H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,realized_over_range_width_ge_1,8H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,trend_efficiency_high,12H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,trend_efficiency_high,1H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,trend_efficiency_high,24H,4,2,2,REGIME-SPECIFIC
donchian_center_and_falling_rv,trend_efficiency_high,2H,4,0,4,UNIVERSAL
donchian_center_and_falling_rv,trend_efficiency_high,4H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,trend_efficiency_high,8H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,upside_breakout_occurred,12H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,upside_breakout_occurred,1H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,upside_breakout_occurred,24H,4,4,0,UNIVERSAL
donchian_center_and_falling_rv,upside_breakout_occurred,2H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,upside_breakout_occurred,4H,4,3,1,REGIME-SPECIFIC
donchian_center_and_falling_rv,upside_breakout_occurred,8H,4,4,0,UNIVERSAL
donchian_edge_and_rising_rv,downside_breakdown_occurred,12H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,downside_breakdown_occurred,1H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,downside_breakdown_occurred,24H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,downside_breakdown_occurred,2H,5,2,3,REGIME-SPECIFIC
donchian_edge_and_rising_rv,downside_breakdown_occurred,4H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,downside_breakdown_occurred,8H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,fast_1atr_touch,1H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,fast_1atr_touch,2H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,fast_1atr_touch,4H,5,1,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,max_abs_excursion_ge_1_5_atr,12H,5,0,1,UNIVERSAL
donchian_edge_and_rising_rv,max_abs_excursion_ge_1_5_atr,1H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,max_abs_excursion_ge_1_5_atr,2H,5,0,5,UNIVERSAL
donchian_edge_and_rising_rv,max_abs_excursion_ge_1_5_atr,4H,5,0,5,UNIVERSAL
donchian_edge_and_rising_rv,max_abs_excursion_ge_1_5_atr,8H,5,1,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,12H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,1H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,24H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,2H,5,2,3,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,4H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,one_sided_runaway,8H,5,2,3,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,12H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,1H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,24H,5,2,3,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,2H,5,4,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,4H,5,4,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,oscillatory_path,8H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,path_inside_70,12H,5,5,0,UNIVERSAL
donchian_edge_and_rising_rv,path_inside_70,1H,5,3,2,REGIME-SPECIFIC
donchian_edge_and_rising_rv,path_inside_70,24H,5,4,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,path_inside_70,2H,5,5,0,UNIVERSAL
donchian_edge_and_rising_rv,path_inside_70,4H,5,4,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,path_inside_70,8H,5,4,1,REGIME-SPECIFIC
donchian_edge_and_rising_rv,range_breached,12H,5,0,5,UNIVERSAL
donchian_edge_and_rising_rv,range_breached,1H,5,2,3,REGIME-SPECIFIC
donchian_edge_and_rising_rv,range_breached,24H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,range_breached,2H,5,0,5,UNIVERSAL
donchian_edge_and_rising_rv,range_breached,4H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,range_breached,8H,5,1,4,REGIME-SPECIFIC
donchian_edge_and_rising_rv,range_held,12H,5,5,0,UNIVERSAL
